Número inscripción,,Denominación social,,
7477,,"LABORATORIOS MACRIMASA HEALTHCARE, S.L.",,
7542,,"ARTE BLAMEL, S.L.",,
7286,,"CORYD, S.L.",,
7643,,"DESARROLLOS DE TECNOLOGÍA AVANZADA, S.L.",,
7402,,"ESTUDIO 360 ARQUITECTURA E INGENIERÍA, S.L.",,
7527,,"BILBAO DESIGN HUB, S.L.",,
7325,,"BAI & BY ARABA, S.L.",,
7578,,"MAKENAI SOLUTIONS, INNOVATION & CREATIVE IDEAS,S.L.",,
7574,,"SERVICIOS GLOBALES ARABA, S.L.",,
7321,,"C. ANDRÉS & LL. MASIÁ, S.L.P.",,
7343,,"DRÄGER SAFETY HISPANIA, S.A.",,
8185,,ONDITZ MENDIZABAL OLABARRIA,,
214,,"AURMAN, S.A.",,
8618,,"BUFETE MAS Y CALVET, S.L.",,
8092,,"TOMAS MINTEGUI URIGUEN, S.A.",,
,,,,
8166,,"SOCIEDAD ESPAÑOLA DE RADIODIFUSIÓN, S.L.",,
8435,,SUMINISTROS ZELAI SL,,
8678,,"SERVITEC RADYAL, S.L.",,
8188,,IÑAKI AZKARATE ARMENDARIZ,,
8778,,"SEMBI COMUNICACION, S. L.",,
8315,,RAMON CHAO SL,,
8690,,JON URDANETA ZEBERIO SANTOS,,
8723,,URBAN CENTRAL IBERUM GESTION SL,,
8671,,"JOIZPE SOLUCIONES INTEGRALES DE HIGIENE, S.L.",,
8338,,"POWER SOLUTION IBERIA, S.L.",,
8871,,"JAIKI MANCONSER, S.L.",,
8101,,"NEURTEK, S.L.",,
8662,,PENINSULAR DE CONTRATAS SA,,
8783,,"LABORATORIOS LENTICON, S.A.",,
8144,,MATEO REGLA DORRONSORO,,
8554,,"LITEK INDUSTRIAL, S.L.",,
8637,,"TECMARIN 1990, S.L.",,
8511,,"PRADO Y SOMOSIERRA INVERSORES, S.L.",,
8281,,MARIA NIEVES YEREGUI AZPEITIA,,
8442,,MIREN SAROA VICANDI LOPEZ,,
8709,,"NETYA FERHIGIENE, S.L.",,
8575,,"MAPI FLORICULTURA, S.L.",,
8828,,PAULA GÓMEZ GONZÁLEZ,,
8252,,IBON ASTOBIZA BARRERA,,
8804,,ASOCIACION CLARETIANA PARA EL DESARROLLO HUMANO SORTARAZI,,
,,,,
8358,,"ARGIXAO SERVICIOS DE MANTENIMIENTO, S.L.",,
8774,,"INGENIERIA GOEN, S.L.",,
8152,,"HRL MARKETING Y COMUNICACION, S.L.",,
8599,,OBRAS PUBLICAS Y REGADIOS SA,,
8876,,"UNIKO ESTUDIO CREATIVO, S.L.",,
8383,,MONI PEREZ TRUEBA,,
8394,,"ALBALÁ GESTIÓN DOCUMENTAL, S.L.",,
8191,,ASOC DE INTERVENCION SOCIOEDUCATIVA KOKUK PROYECTOS COCURRICULARES KOKURRIKULAR PROIEKTUAK,,
8371,,ADRIAN MEDIAVILLA MARTIN,,
8069,,"MANTENIMIENTO Y REPARACION SANMAR, S.L.",,
8165,,"TOLDOS BEROA, S. COOP. PEQUEÑA",,
76,,"EL ESPEJO, LIMPIEZA Y MANTENIMIENTO INTEGRAL, S.A.",,
1723,,"CONSTRUCCIONES MOYUA, S.A.",,
571,,"DPC DIPESA, S.A.",,
249,,"FERROVIAL, S.A.",,
3223,,"ARRIKO, S.A.",,
484,,"CIS ESPAÑA, S.A.",,
2173,,"JOHNSON CONTROLS ESPAÑA, S.L.",,
2189,,"ZUTITU, S.L.",,
1727,,"DISTRIBUIDORA DE ANALÍTICA PARA LA MEDICINA IBÉRICA, S.A.",,
1296,,"VASCONGADA DE AMBIENTACIÓN, S.A.",,
942,,"RESTAURACIONES Y REFORMAS, S.A. (REYFOR)",,
1549,,"CONSTRUCCIONES ECHAIDE, S.A.",,
1953,,"ERABIDE, S.A.",,
1855,,"FERRETERÍA UNCETA, S.A.",,
,,,,
356,,"COMERCIAL MATURANA, S.L.",,
1831,,"HANS E. RÜTH, S.A.",,
1897,,"SOHERCON, S.A.",,
1883,,INGENIERIA ELECTRICA ALTUBE S L,,
1899,,"LAUVAL CORREDURÍA DE SEGUROS, S.L.",,
43,,S.A. DE PROMOCIÓN Y DESARROLLO TALDE,,
1281,,"CONSTRUCCIONES AROBRA, SL",,
716,,"ERAILAN, S.A.",,
1060,,"NORTHO SYSTEMS, S.L.",,
1498,,"REPRISS MARGEN DERECHA, S.L.",,
1401,,"ICEBA, S.L.",,
343,,"SUMINISTROS CLÍNICOS SANITARIOS, S.L. (SUCLISA, S.L.)",,
64,,"CONSTRUCCIONES ARRÓNIZ, S.A.",,
1024,,"COBE IBÉRICA, S.A.",,
978,,"IDOM CONSULTING, ENGINEERING, ARCHITECTURE, S.A.",,
752,,"COMPAÑÍA INTERNACIONAL DE PLANTAS PAPELERAS, S.A.",,
1069,,JOSÉ COVELA LÓPEZ,,
876,,"ESTANTERÍAS EUN, S.A.",,
773,,"PUBLICIDAD REIVI, S.L.",,
728,,"CARDINAL HEALTH SPAIN 239, S.A.",,
1697,,"BIO-SER NORTE, S.A.",,
275,,"CONSTRUCCIONES MONTENEGRO, S.A.",,
500,,"VIAJES AGUIRRE BIDAIAK, S.A.",,
1925,,"HEREDEROS DE CLAUDIO ÁLVAREZ SARRÍA, S.L.",,
1474,,"ASCENSORES CENIA, S.L. Unipersonal",,
,,,,
856,,"FOTOCOMPOSICIÓN DIDOT, S.A.",,
2020,,"ESTUDIOS GIS, S.L.",,
719,,"GERMÁN ECHEBARRIA, S.A.",,
1425,,"SERVICIOS TÉCNICOS GORBEA, S.L.",,
545,,"FER HIGIENE INDUSTRIAL, S.A.",,
1990,,"ARENAL ARQUITECTOS, S.L.",,
1969,,"POOL. C.M.E., S.L.",,
1834,,INSEKOR SA,,
1763,,"MECALAB, S.L.",,
2174,,"LABORATORIOS HUBBER, S.L.",,
31,,"BIPLAX INDUSTRIAS DEL MUEBLE, S.A.",,
2016,,"MEDIASAL 2000, S.A.",,
611,,"DELOITTE & TOUCHE, S.A.",,
2143,,"UVI MEDICAL, S.A.",,
1962,,"CONSTRUCCIONES ARTELU Y HARGIN DE PIEDRA LABRADA, S.A.L.",,
1926,,"ALABUS, S.L.",,
2144,,"INGENIERÍA Y TÉCNICAS DE CALIDAD, S.L.",,
1449,,OBRINOR OBRAS INMOBILIARIAS DEL NORTE SL,,
2002,,"EULEN, S.A.",,
2277,,"LAVANDERIA CONDOR, S.L.",,
359,,"AUTOBAS 77, S.A.",,
2211,,"DESCOL, S.L. SOCIEDAD UNIPERSONAL",,
2038,,FUNDACIÓN AZTI / AZTI FUNDAZIOA,,
2632,,"ELEKA INGENIARITZA LINGUISTIKOA, S.L.",,
1278,,"CENTRO DE ESTUDIOS TÉCNICOS, S.L.",,
,,,,
606,,"INFORMACIÓN Y DESARROLLO, S.L.",,
486,,"GRÁFICAS ZUBI, S.L.",,
2056,,"SISTEMAS DE OFICINAS DE VIZCAYA CINCO, S.A.",,
432,,"PRAXAIR ESPAÑA, S.L.",,
1621,,"JUAN CARLOS SIEIRA, S.L.",,
1995,,"CARPINTERÍA ATARI, S.L.",,
1785,,"SUREUSKADI TRABAJO TEMPORAL, S.L.",,
2077,,"CONSTRUCCIONES AGUADO CABEZUDO, S.A.",,
976,,"ALTEL, S.L.U.",,
1827,,"INSTRUMENTAL MÉDICO, S.A.",,
1786,,"SERVICIOS AUXILIARES SUREUSKADI, S.L.",,
2523,,"DRAWING PUBLIMARK, S.L.",,
2013,,"GRAKONOR, S.L.U",,
1985,,"CONSTRUCCIONES NEOUVILLE, S.A.",,
2101,,JESÚS MARÍA PINEDO FONTECHA (J.M.P. GESTIÓN PUBLICITARIA),,
1341,,"INSTALACIONES ELÉCTRICAS ALONSO, S.L.",,
1327,,"AUZO LAGUN, S. COOP.",,
1537,,"GE HEALTHCARE CLINICAL SYSTEMS, S.L.",,
3161,,"ZAPARDIEL EXPRESS, S.L.",,
3039,,"VEXTER OUTSOURCING, S.A.",,
3158,,"GERONA GRUP BILBAO, S.L.",,
3312,,"GIPUZKOAKO URAK - AGUAS DE GIPUZKOA, S.A.",,
3139,,"EREAGA BIDAIAK, S.L.",,
3209,,"ARKAIOS INVESTIGACIONES, S.L.",,
3102,,"LURLAN EXCAVACIONES Y CONSTRUCCIONES, S.L.",,
,,,,
3146,,"SORTU CONSTRUCCIÓN Y SISTEMAS MODULARES, S.L.",,
2997,,"CONSTRUCCIONES LAUGAS, S.A.",,
2663,,"IÑIGUEZ DE HEREDIA CONSTRUCCIONES, S.L.",,
2749,,"BIO-ADINE, S.L.",,
2942,,"EXCAVACIONES IKER, S.L.",,
2673,,"GAZTEOK MANAGEMENT KULTUR LANAK, S.L.",,
2701,,"ANT & GUST, S.L.",,
2642,,"TIP TOP COMUNICACIÓN, S.L.",,
2637,,"DIGISYSTEMS, S.L.",,
2810,,"NEMONICA DISEÑO Y COMUNICACIÓN, S.L.",,
3001,,"HAURTZAROA, EDUCACIÓN SOCIAL, S.L.",,
3093,,"IKENA 2001, S.L.",,
2947,,"ARRI LORALAN JARDINERÍA, S.L.",,
2843,,PAGOLA MANTEROLA MIGUEL,,
985,,"ETRA NORTE, S.A.",,
2772,,"PLAN B ANUNCIOS Y ESTRATEGIAS, S.L.",,
3095,,"CLAVE URBANA, S.A.U.",,
3230,,"LIZAR TRABAJOS FORESTALES, S.L.",,
2603,,"SIEMSA NORTE, S.A.",,
2880,,"SABICO SERVICIOS AUXILIARES, S.L.",,
3054,,"TEKNOLUR, S.L.",,
2946,,"ELA MEDICAL IZASA, S.A.",,
3016,,"CONSTRULAN, S.L.",,
2342,,"AYUDAS TÉCNICAS ARABA, S.L.",,
2347,,"OLACIREGUI TOLOSA, ANGEL. TRANSPORTES OLA",,
,,,,
2619,,"MARTA GATELL, S.L.",,
2426,,"EQUIPAMIENTO INTEGRAL DE OFICINAS SPACIO S-21, S.L.",,
2396,,"ARABAKO LANKETA, S.L.",,
2321,,"EMILIO CARREÑO, S.L.",,
2736,,"TREK MEDIA, S.L.",,
2367,,"VWR INTERNATIONAL EUROLAB, S.L.",,
1042,,"TELARRA TEXTIL, S.L.",,
1907,,"INGETEK SISTEMAS NORTE, S.L.",,
2304,,CENTRAL DE PROCESOS INFORMATICOS,,
2325,,"""GEMMA ARIGITA SORIA"" (LIMPIEZAS BI AHIZPA)",,
2128,,"PHILIPS IBÉRICA, S.A.",,
2136,,"HEMEN KLIMA, S.A.L.",,
5215,,"OBRAS HIDRÁULICAS ORTEGA, S.L.",,
2312,,"AVANCES EN TECNOLOGÍAS MÉDICO-DEPORTIVAS, S.L.",,
863,,"NORTELEC, S.L.",,
1402,,"FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A.",,
2572,,"SIEMSA NORTE, S.A.",,
847,,"SIEMENS CERBERUS, S.A.",,
2225,,HORBEL KOOPERATIBA DE INICIATIVA SOCIAL,,
2300,,"DITECO INGENIERÍA, S.L.U.",,
2553,,"OCE ESPAÑA, S.A.",,
1127,,"SOCIEDAD ESPECIALISTA EN REPARACION Y CONSTRUCCION, S.A.",,
2573,,"LANEN URBANIZACIONES, S.L.",,
2235,,"SEGEMA, SERVICIOS GENERALES DEL MEDIO AMBIENTE, S.A.",,
2145,,"HEZILAN, S.L.",,
,,,,
2237,,"BEKALAN-96, S.L.",,
603,,"BILBOMÁTICA, S.A.",,
73,,CONSTRUCCIONES OLABARRI SL,,
2559,,"KILKER JARDINERÍA, S.L.",,
2454,,"REPRESENTACIONES MURILLO ARGUEDAS, S.L.",,
4195,,"TELEFLEX MEDICAL, S.A.",,
4331,,"M.B.A. INCORPORADO, S.L.",,
3901,,"AUTOBUSES AGOTE, S.L.",,
3902,,"IRAGAZ SERVICIOS MEDIOAMBIENTALES, S.L.",,
4055,,ROMEL AUGUSTO CHAMBA CAILLAGUA,,
3847,,"INVERSIONES GORRIKO, S.L.",,
5385,,"COMPAREX ESPAÑA, S.A.",,
5515,,"AZPIKARI, S.L.",,
3616,,AKETZA GUINEA MARDONES,,
3566,,ASOCIACIÓN CULTURAL HAZIAN KULTUR ELKARTEA,,
4917,,"SERVIGESPLAN, S.L.",,
5517,,"PROSEGUR SOLUCIONES INTEGRALES DE SEGURIDAD ESPAÑA, S.L.",,
4396,,"ALSE SERVICIOS AUXILIARES, S.L.",,
3754,,"FREYSA SISTEMAS DE GASES A PRESIÓN, S.L.",,
4459,,ALBERTO MORALES OSAKA,,
5269,,"PRESTASER FACILITY SERVICES, S.L.",,
3720,,"G.D.M. 1980 MULTISERVICIOS TECNICOS, S.L.",,
4009,,"ENRIMAT-TRANS, S.L.",,
3831,,"MISS BROWN, S.L.",,
3851,,"AUTOBUSES JUANTXU, S.L.",,
,,,,
5553,,"K1 EKOPAISAIA, S.L.L.",,
3843,,"HOGEIKA, S.L.",,
3869,,"CONSTRUCCIONES MANAN REBOREDO RODRIGUEZ, S.L.",,
4347,,"FERRER INTERNACIONAL, S.A.",,
4362,,ASOCIACIÓN PARA LA PROMOCIÓN Y EL FORTALECIMIENTO DEL TERCER SECTOR ST3 ELKARTEA,,
4389,,"5 W, S.L.",,
4316,,"AUTOCARES ALDALUR ANAIAK, S.L.",,
5367,,GURUTZE AUTOAK S.L.,,
4229,,"AUTOCARES BELINTXON, S.L.",,
4357,,"RUBRICA, DISEÑO Y PUBLICIDAD, S.L.",,
3953,,"UMETAL FRONTAGES AND COVERS INTERNATIONAL, S.L.",,
3650,,"BIOMENCO, S.L.",,
4337,,"COMPUTADORES NAVARRA, S.A.",,
3659,,"NOSKI CONSULTING TOUR, S.L.",,
3729,,"NAUK CONSULTING, S.L.",,
3785,,"EGURRE, S.L.",,
4379,,"ELECTRICIDAD ELGOIN, S.A.",,
3784,,"AZYSA GIPUZKOA OBRAS Y PROYECTOS, S.A.",,
3935,,"POOL DE COMUNICACION, S.L.",,
3153,,"HNK, INGENIERIA, URBANISMO Y MEDIO AMBIENTE, S.L.P.",,
3416,,"CONSTRUCCIONES DEL NORTE DELIKAS, S.A.",,
3391,,"COMUNICACIÓN Y MARKETING DEIMOS, S.L.",,
4819,,"ON GLOBAL LANGUAGE MARKETING, S.L.",,
3779,,"QUIMICA FARMACEUTICA BAYER, S.L.",,
3614,,"EGOKIERA SUMINISTROS, S.L.L.",,
,,,,
3267,,"DATINET SOLUCIONES INFORMATICAS, S.L.",,
3482,,"LEZAMA DEMOLICIONES, S.L.",,
3491,,"URTZI FITNESS CLUB, S.L.",,
3363,,"MOTIVACCION NORTE, S.L.",,
3620,,"GIABEKO, S.L.",,
3716,,"IKUSNET, S.L.L.",,
3528,,"ASCENSORES MUGUERZA, S.A.",,
3377,,"ERREXAL, S.L.",,
3374,,"KATAIA CONSULTING, S.L.",,
3071,,"URGATZI, S.L.",,
3088,,"EL TALLER CONTRACT MARKETING, S.L.",,
3273,,IRATI SERVICIOS AUXILIARES S. COOP,,
3437,,EXCAVACIONES EKIN SL,,
3501,,"BERNEDO OBRAS Y SERVICIOS, S.L.",,
3422,,"ERREFORMAK HORMAN, S.L.",,
3338,,"UNIFY COMMUNICATIONS, S.A.",,
5507,,"ELECPASAIA, S.L.",,
3245,,"PROFESSIONAL INTERSERVICES, S.A.",,
3335,,"CANAL EUSKADI, S.L.",,
3505,,JOSÉ ANTONIO RUEDA VIGURI,,
3815,,"HPC IBÉRICA, S.A.",,
3385,,"KOMA ZERBITZU KULTURALAK, S.L.",,
3682,,"LABORATORIOS SALVAT, S.A.",,
3830,,"AUTOESCUELA LAGUNAK, S.A.L.",,
3522,,"GUEDAN SERVICIOS DEPORTIVOS, S.A.",,
,,,,
3816,,"CONSTRUCCIONES AMURIZA, S.L. OBRAS Y CONTRATAS",,
3480,,"VEULSA, S.A.",,
5873,,CERAMICAS NOGALES SL,,
5132,,"BERMEOSOLO, S.A.",,
5488,,"MENKEEPER SEGURIDAD, SL",,
5453,,PA CONSULTING SERVICES LIMITED,,
5160,,"MASTER SILLA, S.L.",,
5307,,ZAPATA BIO S.L.U.,,
5523,,"FRANCISCO CHINER, S.L.",,
5525,,SAYOS & CARRERA S.L,,
5094,,"ECEIZA EXPRESS, S.L.",,
5149,,"ESC SERVICIOS GENERALES, S.L.",,
5039,,JUAN LUIS DÍAZ DE CORCUERA URIBE ETEXEBARRIA,,
5342,,"INARLAN ARQUITECTURA E INGENIERÍA, S.L.",,
5620,,"IKZ CONSULTORÍA AMBIENTAL, S.L.",,
5733,,PABLO DEL VALLE DE LERSUNDI ARROYO,,
5592,,ASOCIACIÓN KAIA GIZARTE ZERBITZUAK,,
5002,,"BECKMAN COULTER, S.L.",,
5116,,LORENZO SEGUI TRIAY,,
5408,,"EKO GASTEIZ, S.L.",,
4251,,"IZERTIS EASO, S.A.",,
5443,,DISEÑO E IMAGEN OMA 3 S.L.,,
5343,,GAMMA SOLUTIONS S.L.,,
5313,,GOIKOAUTO S.A.,,
5294,,GEOLOGÍA Y GEOTECNIA LARREA S.L.,,
,,,,
5472,,"ADDITU COMUNICACIÓN, S.L.L.",,
5096,,"GOIZ IKUZTEGIA, S.L.",,
5065,,"SITTA SILLERIA DE OFICINA, S.L.L.",,
5056,,"SUMA INFO, S.L.",,
5463,,GRAFILUR S.A.,,
5528,,MEIK INGENIERÍA Y CONSULTORÍA S.L.,,
4673,,FAMMILIA ESTUDIO S.L.,,
5706,,FERNANDO AZNAR YARZA,,
3187,,"AKABA, S.A.",,
4895,,"ASMI SERVICIOS DEPORTIVOS, S.L.",,
1787,,"ANTZIBAR, S.A.",,
5084,,"BEITU DIGITALA, S.L.",,
4590,,"ISOCOINNOVA, S.A.U.",,
4766,,"LIMPIEZAS LANDAURI GARBIKETAK, S.L.",,
4866,,"DXD APLICATIONS & IT SOLUTIONS, S.L.U.",,
3395,,"EXBASA OBRAS Y SERVICIOS, S.L.",,
4817,,"GRÁFICAS IRUDI, S.L.",,
5131,,"FRUTAS SOLER Y ALEX, S.L.U.",,
4270,,AUTOPULLMAN SAN SEBASTIAN SL,,
4733,,"MENDIBIL 2002, S.L.",,
3885,,UNI-TRAVEL AUTOCARES SL,,
8147,,"ESTUDIOS DE MÚSICA INTERCLABE, S.L.",,
4340,,"TIEMPO BBDO MADRID, S.A.",,
4352,,"ORTOPEDIA BIDARI, S.L.",,
4748,,"EXCAVACIONES TOLOSA, S.L.",,
,,,,
4526,,"CAPGEMINI, S.L.U.",,
4722,,"KUKUMA ESKOLAKO MATERIALA, S.L.",,
5146,,"IKERPARTNERS, S.L.",,
4531,,"G.T.S. ELECTRÓNICA, S.L.",,
4534,,"DAM ALBAÑILERÍA, S.L.",,
4500,,"ORIZKI, S.A.",,
4511,,"GECON 5 ARQUITECTOS, S.L.",,
4821,,"ZUZEN-EXPRESS, S.L.",,
4829,,EKOLEDS INNOVATIONS S.L.,,
4947,,HIRIGINTZA TEKNIKARIAK SL,,
5005,,"V.I.R THERAPEUTIC, S.L.",,
5145,,"ASFALTIA, S.L.",,
4472,,RECURSOS ESTRUCTURALES S.L.,,
4476,,"CTC INGENIERÍA DEDICADA, S.A.",,
4884,,"INSTRUMENTOS CIENTÍFICOS, S.A.",,
5120,,"VUDUMEDIA, S.L.",,
4823,,"RAEP, S.L.",,
4798,,"GUK KOMUNIKAZIO AHOLKULARITZA, S.L.",,
4692,,"FX-MEDIA AUDIO VIDEO, S.L.",,
4694,,"CONSTRUCCIONES AROSA, S.L.",,
4840,,"KONSIT, S.L.U.",,
4475,,"IRUMAK, S.A.",,
4588,,"LEKU MULTIMEDIA, S.L.",,
4635,,"DIVAOR STUDIO, S.L.",,
4846,,BABESA SUZAI SA,,
,,,,
6886,,"GRAFICAS RIGEL, S.A.",,
6401,,"FDET ABOGADOS ASOCIADOS, S.L.P.",,
6408,,ALFREDO PEREZ DE ONRAITA MENDIA,,
8572,,"EUTIK SOLUTIONS, S.L.",,
6648,,"BNFIX AMB AUDITORES, S.L.P",,
6388,,"ESTUDIO ARQUITECTURA BASA, S.L.",,
6379,,"ECKERT & ZIEGLER IBERIA, S.L.",,
6616,,XLARK ESTUDIO DE ARQUITECTURA Y URBANISMO ANTON PAGOLA Y ASOCIADOS S.L.,,
7258,,"PHS SERKONTEN, S.A.",,
6254,,ALBERTIA ETXEA S.L.,,
2605,,FUNDACIÓN BIZITZEN,,
6274,,"CONSULTORÍA Y FORMACIÓN MARGUBE, S.L.",,
6130,,"GESTION DE SERVICIOS RESIDENCIALES, S.COOP",,
6214,,"EXCELENCIA IDEAS PUBLICITARIAS, S.L.",,
6279,,REYMAN ELECTROBOMBAS S.L.,,
6411,,MENDIBIL ARQUITECTURA Y URBANISMO S.L.P.U.,,
6209,,CONSULTORES DE GESTIÓN PÚBLICA SL,,
6390,,ASOCIACIÓN PARA LA PROTECCIÓN DEL MENOR Y LA FAMILIA Y PROMOCIÓN DE LOS PUNTOS DE ENCUENTRO Y LA MEDIACIÓN EGINTZA,,
6417,,"ELECSI, S.L.",,
6491,,"VÁZQUEZ OFITEP, S.L.",,
6136,,ASESORAMIENTO Y GESTIÓN ASISTENCIAL S.L.,,
6416,,"PROSEÑAL, S.L.U.",,
6365,,"SIFI IBERICA, SL",,
6224,,JESÚS ALONSO LÓPEZ,,
6239,,LA CYCA PROJECTS AND SERVICES SL,,
,,,,
6778,,"DANNERBOOTS, S.L.",,
6382,,MB 2000 ZERBITZU SOZIO KULTURALAK ELKARTEA,,
6175,,S.M.K. SUMINISTROS DE MAQUINAS Y PRODUCTOS QUIMICOS S.L.,,
6268,,"KOMALINGUA,S.L.",,
6596,,GARDA SERVICIOS DE SEGURIDAD S.A.,,
6418,,"IDEXX LABORATORIOS,S.L.",,
6848,,"BIRKETA REHABILITACIONES, S.L.",,
6065,,INGENIERIA ANALITICA SL,,
5949,,GURE AMETS GIZARTE ELKARTEA,,
5960,,"MOVE BRANDING, S.L.",,
6664,,"SUMUN EQUIPAMIENTOS, S.L.",,
6404,,GAZTAROA SARTU KOOP.ELK.,,
5753,,"FUNDIBIDE, S.A.",,
5161,,"ZABALA INNOVATION CONSULTING, S.A.",,
1468,,"OSIATIS, S.A.",,
6000,,"ARANCONTA METERING, S.L.U.",,
5837,,INGURU 21 SOCIEDAD LIMITADA,,
5631,,"TOKIOTA, S.L.",,
5926,,"ALMACENES ELECTRICOS VASCONGADOS, S.A.",,
5994,,EBSCO INFORMATION SERVICES S.L.U.,,
5880,,"ISURKI, S.L.",,
5827,,"CONSTRUCCIONES ARABOLAZA, S.L.",,
6030,,KIROLETAN SPORT SL,,
5818,,"IRABIA CONTROL DE PLAGAS, S.L.",,
6096,,"LINK MOBILITY SPAIN, S.L.U.",,
,,,,
5892,,"COLT ESPAÑA,S.A.",,
5821,,SUL COMERCIALIZADORA SL,,
5782,,"ACUITEC, S.L.",,
5801,,Asociacion de Artistas Aritadetó,,
5741,,"SASOI ERAIKUNTZAK, S.L.",,
5940,,JON MARTINEZ CARRO,,
5820,,ACTYLAB S.L.,,
5936,,"ELORRI-3000, S.L.",,
7151,,"SIGNOS PUBLICIDAD Y COMUNICACIÓN,S.L.",,
7205,,"CONTROIL, CONTROL DE FUGAS EN TANQUES, S.L.",,
6993,,"KOMABERRI BI,S.L.",,
6981,,DAVID PINEDO ORTEGA,,
7224,,"TROSMA PRODUCCIONES, S.L.",,
8474,,"LABORATORIO ALDO UNION, S.L.",,
7096,,IÑAKI ANSOLA URIGUEN,,
7113,,"BIDEA AVANT, S.L.",,
7087,,"ESTUDIO DE INGENIERÍA NOVO Y ASOCIADOS, S.L.",,
7006,,ALDA GESTIÓN DE ESPACIOS RESIDENCIALES S.L.,,
7111,,"PROYECTOS Y CONSTRUCCIONES EDIKON, S.L.",,
8447,,"ZIKULUSALTSA, S.L.",,
6967,,"ATHLON SINTAGMIA, S.L.",,
8212,,"LAZITURRI, S.L.",,
7192,,ARTEMAN KOMUNIKAZIOA KOOP. E.,,
7068,,MARCELA VEGA HIGUERA,,
7126,,JON KEPA URLEZAGA URLEZAGA,,
,,,,
7056,,"OCR MEDIA, S.L.",,
5781,,STUDIO GASTON SL,,
5576,,"GENELEK SISTEMAS, S.L.",,
6595,,"LEICA GEOSYSTEMS, S.L.",,
6514,,"CAMBIO ENERGETICO, S.L.",,
6574,,"ONDARTEZ, S.L.",,
7173,,"MANU ATRISTAIN ARQUITECTO, S.L.P.",,
6699,,"ABS ILUMINACIÓN, S.L.",,
6776,,"CARPINTERIA Y TAPICERIA IRASTORZA, S.L.",,
6736,,"GESTION INTEGRAL ECOTEX, S.L.",,
6727,,ANA ORTIZ ARRIETA,,
6767,,SOPRENER SL,,
6787,,JOSU GOTZON URRUTIA MINGO,,
6809,,"ESTILO INSTALACIONES Y EQUIPAMIENTOS, S.L.",,
6896,,"GESTIÓN DEPORTIVA LOIRI, S.L.",,
6478,,IKER ORTIZ DE ZARATE FERNANDEZ DE ARANGUIZ,,
6741,,ALEJANDRO CASTRO UBETAGOYENA,,
6763,,"UROLAKO KOMUNIKAZIO TALDEA, KOOP. ELK",,
6474,,CIRILO ABAD DE LAFUENTE,,
6636,,"CONSTRUCCIONES Y EXCAVACIONES FERREIRA, S.L.",,
6724,,"TOMPLA INDUSTRIA INTERNACIONAL DEL SOBRE, S.L.",,
6881,,"RANDSTAD CONSULTORES Y SOLUCIONES DE RECURSOS HUMANOS, S.L.",,
6840,,"MADERPLAY, S.L.",,
6707,,AQUARBE S.A.,,
2957,,"LIMPEDUR, S.L.",,
,,,,
6932,,"ARRIAZU&GARAY, S.L.P.",,
6855,,FERNANDO REINARES ENCINA,,
6798,,"GURA NEURO & MARKETING, S.L.",,
7847,,"FEGEMU AUTOMATISMOS, S.L.",,
7852,,"EXTERIOR GOMASA, S.L.",,
7899,,"BEREZI99 GARBIKETAK-LOREZAINTZA, S.L.",,
8019,,"UNICO COAGULANTES UNIVERSALES, S.L.",,
8023,,"REFORMAS Y REHABILITACIONES PORTU, S.L.",,
7677,,"GMV SOLUCIONES GLOBALES INTERNET, S.A.",,
7940,,"TALLERES SOLAF, S.A.",,
8033,,"KIROLZER, S.L.",,
7884,,"COMPRESORES LOR, S.L.",,
8034,,"DINAMIZA ASESORES, S.L.",,
7911,,BAGABILTZA FUNDAZIOA - FUNDACIÓN BAGABILTZA,,
7819,,"NEUROTIKA SOUND, S.L.",,
7687,,ARGITXU AGUERRE OLAIZOLA,,
7719,,"CIVILNOVA SOLUTIONS, S.L.",,
7904,,CLEMAR GENERACION SL,,
7892,,ION ARRUABARRENA OYARBIDE,,
7684,,JOSE DIEZ MARCOS,,
7861,,"ARMONIA LIMPIEZA SOFT FACILITIES SOLUTIONS ESPAÑA, S.L.",,
7931,,"CONSTRUCCIONES ZARATE, SOCIEDAD LIMITADA",,
7942,,RUBEN VADILLO OCHOA,,
7673,,"CJM OBRAS Y GESTION SOSTENIBLE, S.L.",,
7746,,"ABCISE BUSINESS TECHNOLOGIES, SOCIEDAD LIMITADA",,
,,,,
7545,,"SOPORTES LEVANTE, S.L.",,
7726,,GETXO IGERIKETA BOLUE KIROL ELKARTEA,,
7895,,"PKF ATTEST SERVICIOS PROFESIONALES, S.L.",,
7966,,ACTIU BERBEGAL Y FORMAS S.A.,,
7866,,"ELECTROSISTEMAS BACH, S.A.",,
7916,,INYPSA CW INFRASTRUCTURES S.L.,,
7978,,"POLLITO BILBO, S.L.",,
7725,,"QUAVITAE SERVICIOS ASISTENCIALES, S.A.",,
7839,,"L.E.G.O. 2021, S.L.",,
7606,,"SERAMNOR 18, S.L.",,
7543,,LUIS GERARDO RUIZ PALOMEQUE,,
7584,,"SIT GRUPO EMPRESARIAL, S.L.",,
7704,,"HELIANTHUS MEDICAL, S.L.",,
4264,,"CONSTRUCCIONES RIO, S.L.",,
7400,,PROSAC PRODUCTOS S.L.U.,,
7433,,"ZUTABE HOSTELERÍA, S.L.",,
