Número inscripción,,Denominación social,,
2661,,"ARK-GASTEIZ, S.L.",,
3489,,"CARESTREAM HEALTH SPAIN, S.A.",,
3512,,"PINTURAS Y EMPAPELADOS MAGO, S.L.",,
3384,,"SISTEMAS INTEGRALES DE MEDICINA, S.A.",,
3315,,"CANAL DIRECTO-COMUNICACIÓN, MARKETING & ESTRATEGIA, S.L.",,
3333,,"SOCEBRO, S.L.",,
3298,,"CONSTRUCCIONES AUGUSTO DIÉGUEZ, S.L.",,
3709,,"MOZAS AGUIRRE ARQUITECTOS, S.L.P.",,
3468,,"GAIA INVESTIGACIÓN Y CONSULTORÍA, S.L.",,
3469,,"BA CREATIVOS, S.L.",,
3281,,"GOIZUETAKO ESTRUCTURAS, S.L.",,
3381,,"VIAJES GANTOUR, S.A.",,
3260,,"INLAND GEO, S.L.",,
3406,,"DDA COMUNICACIÓN, S.L.",,
2811,,"NU COMUNICACIÓN, S.L.L.",,
3293,,"BOMBEOS HIDRAULICOS Y REFRIGERACIONES INDUSTRIALES, S.L.",,
3367,,"ANGULEMA SERVICIOS MEDICOS, S.L.",,
,,,,
3510,,"TRAUMEDICA, S.L.",,
3450,,"DE PRADA COLOR, S.L.",,
4579,,"SPORTURIS 2002, S.L.",,
3242,,"WARNER CHILCOTT IBERIA, S.L.",,
3433,,IBAI SOLUTIONS SL,,
4580,,"LABORATORIOS GEBRO PHARMA, S.A.",,
3458,,"G.R.A. HEMISFERIO DE ACTIVIDADES MULTIMEDIA, S.L.",,
3630,,"ERICCSON ESPAÑA, S.A.",,
3240,,"UGAO INSTALACIONES, S.L.",,
3380,,"INMOGROUP, GRUPO DE PROMOCIONES INMOBILIARIAS S.A.",,
3464,,"ETXEKIT, S.L.",,
3340,,"EUSKO TRAVEL, S.L.",,
3532,,"CORIBERICA SANITARIA, S.L.",,
3546,,"DICOESTUDIOS, S.L.",,
5340,,KRESTON IBERAUDIT PV SL,,
5155,,"SOCIEDAD VASCA DE MINUSVALIDOS BIDAIDEAK, S.L.",,
5764,,INSTALMANT SERVICIOS DEL AGUA S.L.,,
5420,,ARCHANDA PLANTAS INDUSTRIALES S.L.,,
5468,,"INGENIERIA EN INTEGRACION DE SISTEMAS DE INFORMACION, S.A.",,
4973,,"LOTU SERVICIOS INTEGRALES DE MANTENIMIENTO, S.L.",,
5608,,AISLAMIENTO AISLEKO S.C.,,
4991,,"CONSTRUCCIONES NORBISCA, S.L.",,
5359,,VIP AGUINAGA S.L.,,
5584,,ESTRUCTURAS ZAMAGAIN SL,,
5379,,"A.L. INDEX CONSULTORES DE COMUNICACIÓN, S.L.",,
,,,,
2236,,"DISPORT EKI, S.L.",,
5725,,"MERIT MEDICAL SPAIN, S.L.U.",,
5234,,EGIGUREN ERAIKUNTZA SL,,
5673,,"ARTE CONSERVACIÓN Y RESTAURACIÓN, S.L.",,
5419,,LIMPIEZAS CLEAN SERVICE S.L.,,
5431,,"SERVICIOS GENERALES DE GESTIÓN, S.L.U.",,
